Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
（キャベツ類）　グリーンボール　結球葉　生,6.0,4.0,270.0,58.0,17.0,41.0,0.0,0.0,0.0,0.0
（キャベツ類）　レッドキャベツ　結球葉　生,6.0,4.0,310.0,40.0,13.0,43.0,1.0,0.0,0.0,0.2
きゅうり　果実　生,6.0,1.0,200.0,26.0,15.0,36.0,0.0,0.0,0.0,0.0
きゅうり　漬物　塩漬,6.0,1000.0,220.0,26.0,15.0,38.0,0.0,0.0,0.0,0.0
きゅうり　漬物　しょうゆ漬,6.0,1600.0,79.0,39.0,21.0,29.0,1.0,0.0,0.0,0.0
きゅうり　漬物　ぬかみそ漬,6.0,2100.0,610.0,22.0,48.0,88.0,0.0,0.0,0.0,0.0
きゅうり　漬物　ピクルス　スイート型,6.0,440.0,18.0,25.0,6.0,16.0,0.0,0.0,0.0,0.0
きゅうり　漬物　ピクルス　サワー型,6.0,1000.0,11.0,23.0,24.0,5.0,1.0,0.0,0.0,0.2
ぎょうじゃにんにく　葉　生,6.0,2.0,340.0,29.0,22.0,30.0,1.0,0.0,0.0,0.0
キンサイ　茎葉　生,6.0,27.0,360.0,140.0,26.0,56.0,1.0,1.0,0.0,1.0
キンサイ　茎葉　ゆで,6.0,27.0,320.0,140.0,24.0,56.0,1.0,1.0,0.0,0.0
クレソン　茎葉　生,6.0,23.0,330.0,110.0,13.0,57.0,1.0,0.0,0.0,0.0
くわい　塊茎　生,6.0,3.0,600.0,5.0,34.0,150.0,1.0,2.0,1.0,0.0
くわい　塊茎　ゆで,6.0,3.0,550.0,5.0,32.0,140.0,1.0,2.0,1.0,0.0
ケール　葉　生,6.0,9.0,420.0,220.0,44.0,45.0,1.0,0.0,0.0,1.0
コールラビ　球茎　生,6.0,7.0,240.0,29.0,15.0,29.0,0.0,0.0,0.0,0.0
コールラビ　球茎　ゆで,6.0,7.0,210.0,27.0,14.0,28.0,0.0,0.0,0.0,0.0
こごみ　若芽　生,6.0,1.0,350.0,26.0,31.0,69.0,1.0,1.0,0.0,0.0
ごぼう　根　生,6.0,18.0,320.0,46.0,54.0,62.0,1.0,1.0,0.0,0.0
ごぼう　根　ゆで,6.0,11.0,210.0,48.0,40.0,46.0,1.0,1.0,0.0,0.0
こまつな　葉　生,6.0,15.0,500.0,170.0,12.0,45.0,3.0,0.0,0.0,0.0
こまつな　葉　ゆで,6.0,14.0,140.0,150.0,14.0,46.0,2.0,0.0,0.0,0.0
コリアンダー　葉　生,6.0,4.0,590.0,84.0,16.0,59.0,1.0,0.0,0.0,0.0
ザーサイ　漬物,6.0,5400.0,680.0,140.0,19.0,67.0,3.0,0.0,0.1,0.0
さんとうさい　葉　生,6.0,9.0,360.0,140.0,14.0,27.0,1.0,0.0,0.0,0.0
さんとうさい　葉　ゆで,6.0,9.0,240.0,130.0,13.0,30.0,1.0,0.0,0.0,0.2
さんとうさい　塩漬,6.0,910.0,420.0,190.0,17.0,35.0,1.0,0.0,0.0,0.0
しかくまめ　若ざや　生,6.0,1.0,270.0,80.0,38.0,48.0,1.0,0.0,0.0,1.0
ししとう　果実　生,6.0,1.0,340.0,11.0,21.0,34.0,1.0,0.0,0.1,0.0
ししとう　果実　油いため,6.0,0.0,380.0,15.0,21.0,39.0,1.0,0.0,0.1,0.0
しそ　葉　生,6.0,1.0,500.0,230.0,70.0,70.0,2.0,1.0,0.2,2.0
しそ　実　生,6.0,1.0,300.0,100.0,71.0,85.0,1.0,1.0,1.0,1.0
じゅうろくささげ　若ざや　生,6.0,1.0,250.0,28.0,36.0,48.0,1.0,1.0,0.0,1.0
じゅうろくささげ　若ざや　ゆで,6.0,1.0,270.0,35.0,32.0,57.0,1.0,1.0,0.0,1.0
しゅんぎく　葉　生,6.0,73.0,460.0,120.0,26.0,44.0,2.0,0.0,0.1,0.4
しゅんぎく　葉　ゆで,6.0,42.0,270.0,120.0,24.0,44.0,1.0,0.0,0.0,0.0
じゅんさい　若葉　水煮びん詰,6.0,2.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
（しょうが類）　葉しょうが　根茎　生,6.0,5.0,310.0,15.0,21.0,21.0,0.0,0.0,0.0,5.0
（しょうが類）　しょうが　根茎　皮なし　生,6.0,6.0,270.0,12.0,27.0,25.0,1.0,0.0,0.0,5.0
（しょうが類）　しょうが　根茎　皮なし　生　おろし,6.0,4.0,380.0,39.0,27.0,24.0,1.0,0.0,0.0,5.0
（しょうが類）　しょうが　根茎　皮なし　生　おろし汁,6.0,3.0,300.0,2.0,19.0,24.0,0.0,0.0,0.0,3.0
（しょうが類）　しょうが　漬物　酢漬,6.0,1300.0,25.0,22.0,6.0,5.0,0.0,0.0,0.0,0.0
（しょうが類）　しょうが　漬物　甘酢漬,6.0,800.0,13.0,39.0,4.0,3.0,0.0,0.0,0.0,0.0
（しょうが類）　新しょうが　根茎　生,6.0,3.0,350.0,11.0,15.0,23.0,1.0,0.0,0.0,8.0
しろうり　果実　生,6.0,1.0,220.0,35.0,12.0,20.0,0.0,0.0,0.0,0.0
しろうり　漬物　塩漬,6.0,790.0,220.0,26.0,13.0,24.0,0.0,0.0,0.0,0.0
しろうり　漬物　奈良漬,6.0,1900.0,97.0,25.0,12.0,79.0,0.0,1.0,0.0,1.0
ずいき　生ずいき　生,6.0,1.0,390.0,80.0,6.0,13.0,0.0,1.0,0.0,2.0
ずいき　生ずいき　ゆで,6.0,1.0,76.0,95.0,7.0,9.0,0.0,1.0,0.0,2.0
ずいき　干しずいき　乾,6.0,6.0,10000.0,1200.0,120.0,210.0,9.0,5.0,1.0,25.0
ずいき　干しずいき　ゆで,6.0,2.0,160.0,130.0,8.0,5.0,1.0,0.0,0.0,2.0
すいぜんじな　葉　生,6.0,1.0,530.0,140.0,42.0,42.0,1.0,1.0,0.0,2.0
すぐきな　葉　生,6.0,32.0,680.0,150.0,18.0,58.0,3.0,0.0,0.0,0.3
すぐきな　根　生,6.0,26.0,310.0,26.0,8.0,35.0,0.0,0.0,0.0,0.0
すぐきな　すぐき漬,6.0,870.0,390.0,130.0,25.0,76.0,1.0,0.0,0.0,0.0
ズッキーニ　果実　生,6.0,1.0,320.0,24.0,25.0,37.0,1.0,0.0,0.0,0.0
せり　茎葉　生,6.0,19.0,410.0,34.0,24.0,51.0,2.0,0.0,0.0,1.0
せり　茎葉　ゆで,6.0,8.0,190.0,38.0,19.0,40.0,1.0,0.0,0.1,1.3
セロリ　葉柄　生,6.0,28.0,410.0,39.0,9.0,39.0,0.0,0.0,0.0,0.0
ぜんまい　生ぜんまい　若芽　生,6.0,2.0,340.0,10.0,17.0,37.0,1.0,1.0,0.0,0.4
ぜんまい　生ぜんまい　若芽　ゆで,6.0,2.0,38.0,19.0,9.0,20.0,0.0,0.0,0.1,0.0
ぜんまい　干しぜんまい　干し若芽　乾,6.0,25.0,2200.0,150.0,140.0,200.0,8.0,5.0,1.2,3.0
ぜんまい　干しぜんまい　干し若芽　ゆで,6.0,2.0,19.0,20.0,9.0,16.0,0.0,0.0,0.0,0.2
そらまめ　未熟豆　生,6.0,1.0,440.0,22.0,36.0,220.0,2.0,1.0,0.0,0.0
そらまめ　未熟豆　ゆで,6.0,4.0,390.0,22.0,38.0,230.0,2.0,2.0,0.0,0.0
タアサイ　葉　生,6.0,29.0,430.0,120.0,23.0,46.0,1.0,1.0,0.0,0.0
タアサイ　葉　ゆで,6.0,23.0,320.0,110.0,18.0,43.0,1.0,0.0,0.0,0.0
（だいこん類）　かいわれだいこん　芽ばえ　生,6.0,5.0,99.0,54.0,33.0,61.0,1.0,0.0,0.0,0.0
（だいこん類）　葉だいこん　葉　生,6.0,41.0,340.0,170.0,25.0,43.0,1.0,0.0,0.0,0.0
（だいこん類）　だいこん　葉　生,6.0,48.0,400.0,260.0,22.0,52.0,3.0,0.0,0.0,0.0
（だいこん類）　だいこん　葉　ゆで,6.0,28.0,180.0,220.0,22.0,62.0,2.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮つき　生,6.0,19.0,230.0,24.0,10.0,18.0,0.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮つき　ゆで,6.0,14.0,210.0,24.0,9.0,18.0,0.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮なし　生,6.0,17.0,230.0,23.0,10.0,17.0,0.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮なし　生　おろし,6.0,30.0,190.0,63.0,23.0,19.0,0.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮なし　生　おろし汁,6.0,21.0,140.0,14.0,9.0,13.0,0.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,6.0,25.0,170.0,57.0,21.0,16.0,0.0,0.0,0.0,0.0
（だいこん類）　だいこん　根　皮なし　ゆで,6.0,12.0,210.0,25.0,10.0,14.0,0.0,0.0,0.0,0.0
（だいこん類）　切干しだいこん　乾,6.0,210.0,3500.0,500.0,160.0,220.0,3.0,2.0,0.0,1.0
（だいこん類）　切干しだいこん　ゆで,6.0,4.0,62.0,60.0,14.0,10.0,0.0,0.0,0.0,0.0
（だいこん類）　切干しだいこん　油いため,6.0,8.0,110.0,91.0,22.0,18.0,1.0,0.0,0.0,0.0
（だいこん類）　漬物　いぶりがっこ,6.0,1400.0,350.0,42.0,31.0,77.0,0.0,0.0,0.0,0.0
（だいこん類）　漬物　ぬかみそ漬,6.0,1500.0,480.0,44.0,40.0,44.0,0.0,0.0,0.0,0.0
（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,6.0,1300.0,56.0,16.0,5.0,12.0,0.0,0.0,0.0,0.0
（だいこん類）　漬物　たくあん漬　干しだいこん漬,6.0,970.0,500.0,76.0,80.0,150.0,1.0,1.0,0.0,1.0
（だいこん類）　漬物　守口漬,6.0,1400.0,100.0,26.0,9.0,72.0,1.0,1.0,0.0,1.0
（だいこん類）　漬物　べったら漬,6.0,1100.0,190.0,15.0,6.0,24.0,0.0,0.0,0.0,0.0
（だいこん類）　漬物　みそ漬,6.0,2800.0,80.0,18.0,12.0,42.0,0.0,0.0,0.0,0.0
（だいこん類）　漬物　福神漬,6.0,2000.0,100.0,36.0,13.0,29.0,1.0,0.0,0.0,0.0
（たいさい類）　つまみな　葉　生,6.0,22.0,450.0,210.0,30.0,55.0,3.0,0.0,0.0,0.0
（たいさい類）　たいさい　葉　生,6.0,38.0,340.0,79.0,22.0,49.0,1.0,1.0,0.0,1.0
（たいさい類）　たいさい　塩漬,6.0,700.0,330.0,78.0,22.0,45.0,1.0,1.0,0.0,1.0
たかな　葉　生,6.0,43.0,300.0,87.0,16.0,35.0,2.0,0.0,0.0,0.0
たかな　たかな漬,6.0,1600.0,110.0,51.0,13.0,24.0,2.0,0.0,0.0,0.0
たけのこ　若茎　生,6.0,0.0,520.0,16.0,13.0,62.0,0.0,1.0,0.0,1.0
たけのこ　若茎　ゆで,6.0,1.0,470.0,17.0,11.0,60.0,0.0,1.0,0.0,1.0
たけのこ　水煮缶詰,6.0,3.0,77.0,19.0,4.0,38.0,0.0,0.0,0.0,1.0
たけのこ　めんま　塩蔵　塩抜き,6.0,360.0,6.0,18.0,3.0,11.0,0.0,0.0,0.0,0.0
（たまねぎ類）　たまねぎ　りん茎　生,6.0,2.0,150.0,17.0,9.0,31.0,0.0,0.0,0.0,0.0
（たまねぎ類）　たまねぎ　りん茎　水さらし,6.0,4.0,88.0,18.0,7.0,20.0,0.0,0.0,0.0,0.1
（たまねぎ類）　たまねぎ　りん茎　ゆで,6.0,3.0,110.0,18.0,7.0,25.0,0.0,0.0,0.0,0.0
（たまねぎ類）　たまねぎ　りん茎　油いため,6.0,3.0,210.0,24.0,11.0,47.0,0.0,0.0,0.0,0.0
（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,6.0,7.0,490.0,47.0,28.0,98.0,1.0,1.0,0.0,0.0
（たまねぎ類）　赤たまねぎ　りん茎　生,6.0,2.0,150.0,19.0,9.0,34.0,0.0,0.0,0.0,0.0
（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,6.0,3.0,290.0,67.0,14.0,45.0,1.0,0.0,0.0,0.0
たらのめ　若芽　生,6.0,1.0,460.0,16.0,33.0,120.0,1.0,1.0,0.0,0.0
たらのめ　若芽　ゆで,6.0,1.0,260.0,19.0,28.0,92.0,1.0,1.0,0.3,0.0
チコリ　若芽　生,6.0,3.0,170.0,24.0,9.0,25.0,0.0,0.0,0.0,0.0
ちぢみゆきな　葉　生,6.0,18.0,570.0,180.0,30.0,88.0,3.0,1.0,0.0,0.0
ちぢみゆきな　葉　ゆで,6.0,15.0,320.0,130.0,21.0,82.0,1.0,1.0,0.0,0.0
チンゲンサイ　葉　生,6.0,32.0,260.0,100.0,16.0,27.0,1.0,0.0,0.0,0.0
チンゲンサイ　葉　ゆで,6.0,28.0,250.0,120.0,17.0,27.0,1.0,0.0,0.0,0.0
チンゲンサイ　葉　油いため,6.0,31.0,230.0,92.0,16.0,27.0,1.0,0.0,0.0,0.0
つくし　胞子茎　生,6.0,6.0,640.0,50.0,33.0,94.0,2.0,1.0,0.0,0.0
つくし　胞子茎　ゆで,6.0,4.0,340.0,58.0,26.0,82.0,1.0,1.0,0.0,0.0
つるな　茎葉　生,6.0,5.0,300.0,48.0,35.0,75.0,3.0,1.0,0.0,1.0
つるにんじん　根　生,6.0,2.0,190.0,61.0,33.0,75.0,6.0,1.0,0.0,0.4
つるむらさき　茎葉　生,6.0,9.0,210.0,150.0,67.0,28.0,1.0,0.0,0.0,0.0
つるむらさき　茎葉　ゆで,6.0,7.0,150.0,180.0,41.0,24.0,0.0,0.0,0.0,0.0
つわぶき　葉柄　生,6.0,100.0,410.0,38.0,15.0,11.0,0.0,0.0,0.0,0.0
つわぶき　葉柄　ゆで,6.0,42.0,160.0,31.0,8.0,33.0,0.0,0.0,0.0,0.0
とうがらし　葉･果実　生,6.0,3.0,650.0,490.0,79.0,65.0,2.0,0.0,0.0,0.0
とうがらし　葉･果実　油いため,6.0,2.0,690.0,550.0,87.0,76.0,3.0,0.0,0.0,0.0
とうがらし　果実　生,6.0,6.0,760.0,20.0,42.0,71.0,2.0,1.0,0.0,0.0
とうがらし　果実　乾,6.0,17.0,2800.0,74.0,190.0,260.0,7.0,2.0,1.0,1.0
とうがん　果実　生,6.0,1.0,200.0,19.0,7.0,18.0,0.0,0.0,0.0,0.0
とうがん　果実　ゆで,6.0,1.0,200.0,22.0,7.0,19.0,0.0,0.0,0.0,0.0
（とうもろこし類）　スイートコーン　未熟種子　生,6.0,0.0,290.0,3.0,37.0,100.0,1.0,1.0,0.1,0.0
（とうもろこし類）　スイートコーン　未熟種子　ゆで,6.0,0.0,290.0,5.0,38.0,100.0,1.0,1.0,0.1,0.0
（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,6.0,0.0,330.0,3.0,42.0,120.0,1.0,1.0,0.1,0.0
（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,6.0,1.0,230.0,4.0,33.0,90.0,1.0,1.0,0.0,0.0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,6.0,1.0,230.0,3.0,23.0,79.0,0.0,1.0,0.0,0.1
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,6.0,1.0,200.0,3.0,22.0,72.0,0.0,0.0,0.0,0.1
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,6.0,1.0,230.0,3.0,23.0,78.0,0.0,1.0,0.0,0.1
（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,6.0,260.0,150.0,2.0,18.0,46.0,0.0,0.0,0.0,0.0
（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,6.0,210.0,130.0,2.0,13.0,40.0,0.0,1.0,0.0,0.0
（とうもろこし類）　ヤングコーン　幼雌穂　生,6.0,0.0,230.0,19.0,25.0,63.0,0.0,1.0,0.0,0.6
（トマト類）　赤色トマト　果実　生,6.0,3.0,210.0,7.0,9.0,26.0,0.0,0.0,0.0,0.0
（トマト類）　赤色ミニトマト　果実　生,6.0,4.0,290.0,12.0,13.0,29.0,0.0,0.0,0.0,0.1
（トマト類）　黄色トマト　果実　生,6.0,2.0,310.0,6.0,10.0,35.0,0.0,0.0,0.0,0.1
（トマト類）　ドライトマト,6.0,120.0,3200.0,110.0,180.0,300.0,4.0,2.0,1.0,1.0
（トマト類）　加工品　ホール　食塩無添加,6.0,4.0,240.0,9.0,13.0,26.0,0.0,0.0,0.0,0.0
（トマト類）　加工品　トマトジュース　食塩添加,6.0,120.0,260.0,6.0,9.0,18.0,0.0,0.0,0.0,0.0
（トマト類）　加工品　トマトジュース　食塩無添加,6.0,8.0,260.0,6.0,9.0,18.0,0.0,0.0,0.0,0.0
（トマト類）　加工品　ミックスジュース　食塩添加,6.0,82.0,200.0,11.0,13.0,11.0,0.0,0.0,0.0,0.0
（トマト類）　加工品　ミックスジュース　食塩無添加,6.0,12.0,200.0,11.0,13.0,11.0,0.0,0.0,0.0,0.0
トレビス　葉　生,6.0,11.0,290.0,21.0,11.0,34.0,0.0,0.0,0.0,0.0
とんぶり　ゆで,6.0,5.0,190.0,15.0,74.0,170.0,3.0,1.0,0.0,1.0
ながさきはくさい　葉　生,6.0,21.0,300.0,140.0,27.0,37.0,2.0,0.0,0.0,0.0
ながさきはくさい　葉　ゆで,6.0,12.0,120.0,120.0,24.0,48.0,2.0,0.0,0.0,0.2
（なす類）　なす　果実　生,6.0,0.0,220.0,18.0,17.0,30.0,0.0,0.0,0.0,0.0
（なす類）　なす　果実　ゆで,6.0,1.0,180.0,20.0,16.0,27.0,0.0,0.0,0.0,0.0
（なす類）　なす　果実　油いため,6.0,0.0,290.0,22.0,21.0,40.0,0.0,0.0,0.0,0.2
（なす類）　なす　果実　天ぷら,6.0,21.0,200.0,31.0,14.0,41.0,0.0,0.0,0.0,0.0
（なす類）　べいなす　果実　生,6.0,1.0,220.0,10.0,14.0,26.0,0.0,0.0,0.0,0.0
（なす類）　べいなす　果実　素揚げ,6.0,1.0,220.0,10.0,14.0,26.0,0.0,0.0,0.0,0.0
（なす類）　漬物　塩漬,6.0,880.0,260.0,18.0,18.0,33.0,1.0,0.0,0.0,0.0
（なす類）　漬物　ぬかみそ漬,6.0,990.0,430.0,21.0,33.0,44.0,1.0,0.0,0.0,0.0
（なす類）　漬物　こうじ漬,6.0,2600.0,210.0,65.0,22.0,65.0,1.0,0.0,0.0,0.4
（なす類）　漬物　からし漬,6.0,1900.0,72.0,71.0,36.0,55.0,2.0,0.0,0.0,0.0
（なす類）　漬物　しば漬,6.0,1600.0,50.0,30.0,16.0,27.0,2.0,0.0,0.0,0.0
なずな　葉　生,6.0,3.0,440.0,290.0,34.0,92.0,2.0,1.0,0.0,1.0
（なばな類）　和種なばな　花らい・茎　生,6.0,16.0,390.0,160.0,29.0,86.0,3.0,1.0,0.0,0.0
（なばな類）　和種なばな　花らい・茎　ゆで,6.0,7.0,170.0,140.0,19.0,86.0,2.0,0.0,0.0,0.0
（なばな類）　洋種なばな　茎葉　生,6.0,12.0,410.0,97.0,28.0,78.0,1.0,1.0,0.0,1.0
（なばな類）　洋種なばな　茎葉　ゆで,6.0,10.0,210.0,95.0,19.0,71.0,1.0,0.0,0.0,1.0
にがうり　果実　生,6.0,1.0,260.0,14.0,14.0,31.0,0.0,0.0,0.0,0.1
にがうり　果実　油いため,6.0,1.0,260.0,14.0,15.0,33.0,1.0,0.0,0.0,0.0
（にら類）　にら　葉　生,6.0,1.0,510.0,48.0,18.0,31.0,1.0,0.0,0.0,0.0
（にら類）　にら　葉　ゆで,6.0,1.0,400.0,51.0,20.0,26.0,1.0,0.0,0.0,0.0
（にら類）　にら　葉　油いため,6.0,0.0,600.0,48.0,22.0,38.0,1.0,0.0,0.0,0.0
（にら類）　花にら　花茎・花らい　生,6.0,1.0,250.0,22.0,15.0,41.0,1.0,0.0,0.0,0.2
（にら類）　黄にら　葉　生,6.0,0.0,180.0,15.0,11.0,35.0,1.0,0.0,0.0,0.0
（にんじん類）　葉にんじん　葉　生,6.0,31.0,510.0,92.0,27.0,52.0,1.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　皮つき　生,6.0,28.0,300.0,28.0,10.0,26.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　皮つき　ゆで,6.0,23.0,270.0,32.0,12.0,29.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　皮なし　生,6.0,34.0,270.0,26.0,9.0,25.0,0.0,0.0,0.0,0.1
（にんじん類）　にんじん　根　皮なし　ゆで,6.0,27.0,240.0,29.0,9.0,26.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　皮なし　油いため,6.0,48.0,400.0,35.0,13.0,37.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　皮なし　素揚げ,6.0,39.0,380.0,36.0,13.0,35.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　皮　生,6.0,16.0,630.0,45.0,20.0,43.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　冷凍,6.0,57.0,200.0,30.0,9.0,31.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　冷凍　ゆで,6.0,40.0,130.0,31.0,8.0,26.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　根　冷凍　油いため,6.0,60.0,210.0,33.0,9.0,33.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　グラッセ,6.0,390.0,240.0,26.0,10.0,27.0,0.0,0.0,0.0,0.0
（にんじん類）　にんじん　ジュース　缶詰,6.0,19.0,280.0,10.0,7.0,20.0,0.0,0.0,0.0,0.0
（にんじん類）　きんとき　根　皮つき　生,6.0,11.0,540.0,37.0,11.0,64.0,0.0,1.0,0.0,0.0
（にんじん類）　きんとき　根　皮つき　ゆで,6.0,10.0,470.0,39.0,10.0,66.0,1.0,1.0,0.0,0.0
（にんじん類）　きんとき　根　皮なし　生,6.0,12.0,520.0,34.0,10.0,67.0,0.0,1.0,0.0,0.0
（にんじん類）　きんとき　根　皮なし　ゆで,6.0,9.0,480.0,38.0,9.0,72.0,0.0,1.0,0.0,0.0
（にんじん類）　ミニキャロット　根　生,6.0,15.0,340.0,30.0,8.0,22.0,0.0,0.0,0.0,0.0
（にんにく類）　にんにく　りん茎　生,6.0,8.0,510.0,14.0,24.0,160.0,1.0,1.0,0.0,0.0
（にんにく類）　にんにく　りん茎　油いため,6.0,16.0,610.0,18.0,29.0,200.0,1.0,1.0,0.0,0.0
（にんにく類）　茎にんにく　花茎　生,6.0,9.0,160.0,45.0,15.0,33.0,1.0,0.0,0.0,0.0
（にんにく類）　茎にんにく　花茎　ゆで,6.0,6.0,160.0,40.0,15.0,33.0,1.0,0.0,0.0,0.0
（ねぎ類）　根深ねぎ　葉　軟白　生,6.0,0.0,200.0,36.0,13.0,27.0,0.0,0.0,0.0,0.0
（ねぎ類）　根深ねぎ　葉　軟白　ゆで,6.0,0.0,150.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0
（ねぎ類）　根深ねぎ　葉　軟白　油いため,6.0,0.0,220.0,35.0,14.0,28.0,0.0,0.0,0.0,0.0
（ねぎ類）　葉ねぎ　葉　生,6.0,1.0,260.0,80.0,19.0,40.0,1.0,0.0,0.0,0.0
（ねぎ類）　葉ねぎ　葉　油いため,6.0,2.0,310.0,95.0,22.0,49.0,1.0,0.0,0.0,0.0
（ねぎ類）　こねぎ　葉　生,6.0,1.0,320.0,100.0,17.0,36.0,1.0,0.0,0.0,0.0
のざわな　葉　生,6.0,24.0,390.0,130.0,19.0,40.0,1.0,0.0,0.0,0.0
のざわな　漬物　塩漬,6.0,610.0,300.0,130.0,21.0,39.0,0.0,0.0,0.0,0.0
のざわな　漬物　調味漬,6.0,960.0,360.0,94.0,21.0,36.0,1.0,0.0,0.0,0.0
のびる　りん茎葉　生,6.0,2.0,590.0,100.0,21.0,96.0,3.0,1.0,0.0,0.0
はくさい　結球葉　生,6.0,6.0,220.0,43.0,10.0,33.0,0.0,0.0,0.0,0.0
はくさい　結球葉　ゆで,6.0,5.0,160.0,43.0,9.0,33.0,0.0,0.0,0.0,0.0
はくさい　漬物　塩漬,6.0,820.0,240.0,39.0,12.0,41.0,0.0,0.0,0.0,0.0
はくさい　漬物　キムチ,6.0,1100.0,290.0,50.0,11.0,48.0,1.0,0.0,0.0,0.1
パクチョイ　葉　生,6.0,12.0,450.0,100.0,27.0,39.0,1.0,0.0,0.0,0.0
バジル　葉　生,6.0,1.0,420.0,240.0,69.0,41.0,2.0,1.0,0.2,2.0
パセリ　葉　生,6.0,9.0,1000.0,290.0,42.0,61.0,8.0,1.0,0.0,1.0
はつかだいこん　根　生,6.0,8.0,220.0,21.0,11.0,46.0,0.0,0.0,0.0,0.0
はなっこりー　生,6.0,5.0,380.0,51.0,22.0,79.0,1.0,1.0,0.0,0.0
はやとうり　果実　白色種　生,6.0,0.0,170.0,12.0,10.0,21.0,0.0,0.0,0.0,0.0
はやとうり　果実　白色種　塩漬,6.0,1400.0,110.0,8.0,10.0,14.0,0.0,0.0,0.0,0.0
はやとうり　果実　緑色種　生,6.0,0.0,170.0,12.0,10.0,21.0,0.0,0.0,0.0,0.0
ビーツ　根　生,6.0,30.0,460.0,12.0,18.0,23.0,0.0,0.0,0.0,0.0
ビーツ　根　ゆで,6.0,38.0,420.0,15.0,22.0,29.0,0.0,0.0,0.0,0.0
（ピーマン類）　青ピーマン　果実　生,6.0,1.0,190.0,11.0,11.0,22.0,0.0,0.0,0.0,0.1
（ピーマン類）　青ピーマン　果実　油いため,6.0,1.0,200.0,11.0,11.0,24.0,1.0,0.0,0.0,0.1
（ピーマン類）　赤ピーマン　果実　生,6.0,0.0,210.0,7.0,10.0,22.0,0.0,0.0,0.0,0.0
（ピーマン類）　赤ピーマン　果実　油いため,6.0,0.0,220.0,7.0,10.0,24.0,1.0,0.0,0.0,0.0
（ピーマン類）　オレンジピーマン　果実　生,6.0,0.0,230.0,5.0,10.0,26.0,0.0,0.0,0.0,0.1
（ピーマン類）　オレンジピーマン　果実　油いため,6.0,0.0,270.0,5.0,11.0,30.0,0.0,0.0,0.0,0.0
（ピーマン類）　黄ピーマン　果実　生,6.0,0.0,200.0,8.0,10.0,21.0,0.0,0.0,0.0,0.0
（ピーマン類）　黄ピーマン　果実　油いため,6.0,0.0,210.0,8.0,10.0,23.0,1.0,0.0,0.0,0.0
（ピーマン類）　トマピー　果実　生,6.0,0.0,210.0,8.0,8.0,29.0,0.0,0.0,0.0,0.0
ひのな　根・茎葉　生,6.0,10.0,480.0,130.0,21.0,51.0,1.0,0.0,0.0,0.0
ひのな　根・茎葉　甘酢漬,6.0,1100.0,550.0,130.0,22.0,40.0,1.0,0.0,0.0,0.0
ひろしまな　葉　生,6.0,28.0,550.0,200.0,32.0,55.0,1.0,0.0,0.0,1.0
ひろしまな　塩漬,6.0,840.0,120.0,74.0,13.0,17.0,1.0,0.0,0.0,0.0
（ふき類）　ふき　葉柄　生,6.0,35.0,330.0,40.0,6.0,18.0,0.0,0.0,0.0,0.0
（ふき類）　ふき　葉柄　ゆで,6.0,22.0,230.0,34.0,5.0,15.0,0.0,0.0,0.0,0.0
（ふき類）　ふきのとう　花序　生,6.0,4.0,740.0,61.0,49.0,89.0,1.0,1.0,0.0,0.0
（ふき類）　ふきのとう　花序　ゆで,6.0,3.0,440.0,46.0,33.0,54.0,1.0,1.0,0.2,0.0
ふじまめ　若ざや　生,6.0,0.0,300.0,43.0,33.0,63.0,1.0,0.0,0.0,0.0
ふだんそう　葉　生,6.0,71.0,1200.0,75.0,74.0,33.0,4.0,0.0,0.0,3.6
