Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
こむぎ　［うどん・そうめん類］　干しうどん　乾,1.0,1700.0,130.0,17.0,19.0,70.0,1.0,0.0,0.0,0.5
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,1.0,210.0,14.0,7.0,4.0,24.0,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,1.0,1500.0,120.0,17.0,22.0,70.0,1.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,1.0,85.0,5.0,6.0,5.0,24.0,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,1.0,2300.0,110.0,20.0,23.0,70.0,1.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,1.0,130.0,5.0,6.0,4.0,23.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　中華めん　生,1.0,410.0,350.0,21.0,13.0,66.0,1.0,0.0,0.0,0.0
こむぎ　［中華めん類］　中華めん　ゆで,1.0,70.0,60.0,20.0,7.0,29.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　半生中華めん　,1.0,470.0,430.0,21.0,15.0,72.0,0.7,0.4,0.1,0.4
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,1.0,110.0,80.0,10.0,9.0,40.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　蒸し中華めん  ソテー,1.0,130.0,87.0,10.0,10.0,43.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　干し中華めん　乾,1.0,410.0,300.0,21.0,23.0,82.0,1.0,1.0,0.0,0.0
こむぎ　［中華めん類］　干し中華めん　ゆで,1.0,66.0,42.0,13.0,10.0,29.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　沖縄そば　生,1.0,810.0,340.0,11.0,50.0,65.0,1.0,1.0,0.0,1.0
こむぎ　［中華めん類］　沖縄そば　ゆで,1.0,170.0,80.0,9.0,28.0,28.0,0.0,1.0,0.1,0.0
こむぎ　［中華めん類］　干し沖縄そば　乾,1.0,1700.0,130.0,23.0,22.0,100.0,2.0,0.0,0.0,0.0
こむぎ　［中華めん類］　干し沖縄そば　ゆで,1.0,200.0,10.0,11.0,8.0,36.0,1.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,1.0,2500.0,260.0,430.0,29.0,110.0,1.0,1.0,0.0,1.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,1.0,2200.0,150.0,230.0,25.0,110.0,1.0,1.0,0.0,1.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,1.0,430.0,33.0,28.0,6.0,20.0,0.2,0.1,0.03,0.12
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,1.0,150.0,34.0,95.0,8.0,40.0,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,1.0,580.0,150.0,220.0,20.0,97.0,1.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,1.0,2700.0,260.0,110.0,25.0,110.0,1.0,0.0,0.0,1.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,1.0,430.0,68.0,6.0,6.0,26.0,0.2,0.1,0.03,0.17
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,1.0,230.0,64.0,94.0,8.0,46.0,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,1.0,1200.0,310.0,230.0,21.0,130.0,1.0,0.0,0.0,0.5
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,1.0,2300.0,190.0,190.0,25.0,110.0,1.0,1.0,0.0,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,1.0,520.0,43.0,43.0,6.0,24.0,0.2,0.1,0.02,0.09
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,1.0,440.0,37.0,76.0,7.0,34.0,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,1.0,2500.0,180.0,200.0,26.0,110.0,1.0,1.0,0.0,0.4
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,1.0,590.0,43.0,46.0,6.0,27.0,0.2,0.1,0.02,0.09
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,1.0,450.0,33.0,74.0,6.0,28.0,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,1.0,1500.0,180.0,180.0,27.0,89.0,1.0,0.0,0.0,1.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,1.0,910.0,100.0,94.0,14.0,54.0,0.4,0.3,0.06,0.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,1.0,2800.0,250.0,48.0,26.0,100.0,1.0,0.0,0.1,1.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,1.0,560.0,77.0,44.0,7.0,34.0,0.2,0.1,0.02,0.12
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,1.0,380.0,53.0,76.0,7.0,42.0,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,1.0,2600.0,150.0,170.0,26.0,160.0,1.0,1.0,0.0,1.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,1.0,550.0,34.0,41.0,6.0,38.0,0.2,0.1,0.02,0.1
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,1.0,420.0,26.0,78.0,6.0,48.0,0.0,0.0,0.0,0.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,1.0,1.0,200.0,18.0,55.0,130.0,1.0,2.0,0.0,1.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,1.0,460.0,14.0,8.0,20.0,53.0,1.0,1.0,0.0,0.0
