NO,Food,l_class,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,CHOAVL,CHOAVLDF-,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK ,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ
352,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,4,0,1654,392,-3.3,-17.5,-18.5,-10.4,0,-11.4,-56.4,-53.8,-57.9,-8.4,-,-64.3,-,-2.5,-1,-980,-80,-120,-340,-3.9,-2.3,-0.67,-1.38,0,-2,-2,-230,0,-2,-25,-1,-27,-2,0,-1.2,-0.3,-7.7,-4.5,-28,-0.14,-0.14,-1.1,-4.2,-0.26,0,-130,-0.46,-15,(Tr),-,0
353,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,4,0,1711,406,-2.3,-17.2,-18.3,-12.3,0,-12.9,-55.7,-51.4,-56.6,-9,-,-63.9,-,-2.6,-1,-1000,-97,-130,-330,-4,-2,-0.57,-1.38,0,-2,-6,-190,0,0,-2,(Tr),-2,0,0,-0.9,-0.6,-5.7,-4.3,-13,-0.04,-0.12,-1.1,-4.2,-0.26,0,-110,-0.51,-16,0,-,0
354,だいず　［全粒・全粒製品］　大豆はいが,4,0,1689,404,4,-,38,-,0,15,-,-,21,19,-,40,-,4,0,1400,100,200,720,12,6,1,3,-,-,-,-,0,0,19,0,19,2,0,19,1,10,2,190,0,1,3,10,1,0,460,1,-,0,-,0
355,だいず　［全粒・全粒製品］　ぶどう豆,4,0,1113,265,36,14,14,-8.9,(Tr),9,32,30,32,6,-,37,-,4,620,330,80,60,200,4,1,0,-,-,-,-,-,0,-,-,-,0,0,0,2,1,6,4,10,0,0,0,4,0,0,48,0,-,Tr,-,2
356,だいず　［豆腐・油揚げ類］　木綿豆腐,4,0,304,73,86,7,7,5,0,5,1,1,1,1,-,2,0,1,9,110,93,57,88,2,1,0,0,6,4,4,44,0,0,0,0,0,0,0,0,Tr,3,1,6,0,0,0,2,0,0,12,0,4,0,-,Tr
357,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,4,0,304,73,86,7,7,5,0,5,1,1,1,1,-,2,0,1,21,110,40,76,88,2,1,0,0,6,4,4,44,0,0,0,0,0,0,0,0,Tr,3,1,6,0,0,0,2,0,0,12,0,4,0,-,0
358,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,4,0,304,73,86,7,7,5,0,5,1,1,1,1,-,2,0,1,3,110,150,34,88,2,1,0,0,6,4,4,44,0,0,0,0,0,0,0,0,Tr,3,1,6,0,0,0,2,0,0,12,0,4,0,-,0
359,だいず　［豆腐・油揚げ類］　絹ごし豆腐,4,0,235,56,89,5,5,-3.2,0,4,1,1,1,1,-,2,0,1,11,150,75,50,68,1,1,0,0,1,1,1,69,0,0,0,0,0,0,0,0,Tr,2,1,9,0,0,0,2,0,0,12,0,4,0,-,Tr
360,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,4,0,235,56,89,5,5,3,0,4,1,1,1,1,-,2,0,1,19,150,30,63,68,1,1,0,0,1,1,1,69,0,0,0,0,0,0,0,0,Tr,2,1,9,0,0,0,2,0,0,12,0,4,0,-,Tr
361,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,4,0,235,56,89,5,5,3,0,4,1,1,1,1,-,2,0,1,7,150,120,33,68,1,1,0,0,1,1,1,69,0,0,0,0,0,0,0,0,Tr,2,1,9,0,0,0,2,0,0,12,0,4,0,-,Tr
362,だいず　［豆腐・油揚げ類］　ソフト豆腐,4,0,234,56,89,5,5,-3,0,3,0,0,2,0,-,2,-,1,7,150,91,32,82,1,1,0,0,-,-,-,-,0,-,-,-,0,0,0,0,0,2,1,10,0,0,0,1,0,0,10,0.1,-,Tr,-,0
363,だいず　［豆腐・油揚げ類］　充てん豆腐,4,0,234,56,89,5,5,-2.8,0,3,1,1,2,0,-,3,-,1,10,200,31,68,83,1,1,0,0,-,-,-,-,0,-,-,-,0,0,0,0,0,2,1,11,0,0,0,2,0,0,23,0,-,Tr,-,0
364,だいず　［豆腐・油揚げ類］　沖縄豆腐,4,0,413,99,82,-8.8,9,-6.6,0,7,-1,-1,1,1,-,1,-,1,170,180,120,66,130,2,1,0,1,-,-,-,-,0,-,-,-,0,0,0,0,0,5,2,16,0.1,0,0,-2.5,0,0,14,Tr,-,Tr,-,0
365,だいず　［豆腐・油揚げ類］　ゆし豆腐,4,0,198,47,90,-4.1,4,-2.6,0,3,-0.6,-0.5,2,0,-,2,-,1,240,210,36,43,71,1,1,0,0.3,-,-,-,-,0,-,-,-,0,0,0,0,0,2,1,9,0.1,0,0,-1.3,0,0,13,0.2,-,Tr,-,1
366,だいず　［豆腐・油揚げ類］　焼き豆腐,4,0,341,82,85,8,8,-5.2,0,6,1,1,1,1,-,1,-,1,4,90,150,37,110,2,1,0,0.6,-,-,-,-,0,-,-,-,0,0,0,0,0,4,2,14,0,0,0,2,0,0,12,0,-,Tr,-,0
367,だいず　［豆腐・油揚げ類］　生揚げ,4,0,594,143,76,10,11,-10.7,Tr,11,1,1,1,1,-,1,-,1,3,120,240,55,150,3,1,0,1,-,-,-,-,0,-,-,-,0,0,0,1,0,6,2,25,0,0,0,3,0,0,23,0,-,Tr,-,0
368,だいず　［豆腐・油揚げ類］　油揚げ　生,4,0,1564,377,40,23,23,31,(Tr),34,1,1,3,1,-,0,-,2,4,86,310,150,350,3,3,0,2,1,8,5,97,0,-,-,-,0,0,0,1,0,12,6,67,0,0,0,6,0,0,18,0,7,0,-,0
369,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,4,0,1105,266,57,18,18,21,(Tr),23,0,0,2,1,-,Tr,-,1,2,51,230,110,280,3,2,0,1,Tr,6,4,68,0,-,-,-,0,0,0,1,0,10,5,48,0,0,0,5,0,0,12,0,5,0,-,0
370,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,4,0,680,164,73,12,12,13,(Tr),14,0,0,1,1,-,0,-,1,Tr,12,140,59,180,2,1,0,1,0,4,3,22,0,-,-,-,0,0,0,1,0,5,2,26,0,0,0,3,0,0,3,0,3,0,-,0
371,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,4,0,1499,361,40,25,25,29,(Tr),32,0,0,3,1,-,1,-,2,4,74,320,150,380,3,3,0,2,Tr,8,6,92,0,-,-,-,0,0,0,1,0,12,6,65,0,0,0,7,0,0,14,0,7,0,-,0
372,だいず　［豆腐・油揚げ類］　油揚げ　甘煮,4,0,967,231,55,10,11,12,0,13,18,17,21,1,-,19,0,2,460,61,120,51,150,2,1,0,0,Tr,3,3,25,0,0,2,0,2,0,0,1,0,5,2,22,0,0,0,3,0,0,3,0,4,0,-,1
373,だいず　［豆腐・油揚げ類］　がんもどき,4,0,925,223,64,15,15,-16.8,Tr,18,2,2,1,1,-,2,-,2,190,80,270,98,200,4,2,0,1.3,32,4,8,60,0,-,-,-,0,0,0,2,0,8,3,43,0,0,0,4,0,0,21,0.2,8,Tr,-,1
374,だいず　［豆腐・油揚げ類］　凍り豆腐　乾,4,0,2064,496,7,50,51,32,0,34,0,0,4,3,-,4,-,4,440,34,630,140,820,8,5,1,4,1,19,5,67,0,1,7,3,9,1,0,2,1,20,11,60,0,0,Tr,13,0,0,6,0.1,21,0,-,1
375,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,4,0,435,104,80,11,11,7,0,7,0,0,1,1,-,1,-,1,260,3,150,29,180,2,1,0,1,Tr,5,1,3,0,0,1,1,2,0,0,0,0,4,2,13,0,0,0,3,0,0,0,0,3,0,-,1
376,だいず　［豆腐・油揚げ類］　豆腐よう,4,0,770,183,61,-9,10,8,0,8,-,-,20,1,-,19,-,3,760,38,160,52,190,2,2,0,1.7,1,4,3,45,0,-,-,-,2,Tr,0,1,0,7,3,18,0,0,1,-2.8,0,Tr,7,0.4,4,Tr,-,2
377,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,4,0,508,121,72,-13.6,15,4,12,4,-,-,8,1,-,7,-,2,740,140,70,65,150,2,1,0,1,63,14,4,43,3,-,-,-,0,3,0,0,0,3,1,12,0,0,1,-3.7,0,1,11,0,4,Tr,-,2
378,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,4,0,560,133,69,-14.4,16,4,13,5,-,-,9,1,-,8,-,3,900,150,100,73,170,2,1,0,1,-,-,-,-,0,-,-,-,0,0,0,0,0,3,1,10,0,0,1,-3.8,0,1,17,0,-,Tr,-,2
379,だいず　［豆腐・油揚げ類］　ろくじょう豆腐,4,0,1384,332,27,-33.5,35,-19.6,0,22,-,-,4,3,-,4,-,14,4300,430,660,110,590,6,5,1,4,-,-,-,-,0,0,3,0,3,0,0,3,1,15,5,41,0.1,0,1,-9.1,0,0,23,0,-,0,-,11
380,だいず　［納豆類］　糸引き納豆,4,0,790,190,60,15,17,-9.7,Tr,10,0,0,8,7,-,12,-,2,2,660,90,100,190,3,2,1,-,Tr,16,1,290,0,-,-,-,0,0,0,1,0,6,3,600,0,1,1,5,0,Tr,120,3.6,18,Tr,-,0
381,だいず　［納豆類］　挽きわり納豆,4,0,772,185,61,15,17,-9.7,0,10,0,0,6,6,-,11,-,2,2,700,59,88,250,3,1,0,1,-,-,-,-,0,0,0,0,0,0,0,1,0,9,5,930,0,0,1,5,0,0,110,4,-,Tr,-,0
382,だいず　［納豆類］　五斗納豆,4,0,900,214,46,-,15,7,0,8,-,-,20,5,-,24,-,7,2300,430,49,61,190,2,1,0,1,1,8,2,75,0,-,-,-,0,0,0,1,0,6,2,590,0,0,1,4,0,-,110,2.9,15,Tr,-,6
383,だいず　［納豆類］　寺納豆,4,0,1043,248,24,-,19,6,0,8,-,-,26,8,-,32,-,17,5600,1000,110,140,330,6,4,0.8,1.7,1,14,2,110,0,-,-,-,0,0,0,1,0,8,3,190,0,0,4,7,0,-,39,1,19,Tr,-,14
384,だいず　［その他］　おから　生,4,0,363,88,76,5,6,-3.4,0,4,1,1,3,12,-,14,-,1,5,350,81,40,99,1,1,0,0.4,1,1,1,45,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,2,0,0,14,0,4,Tr,-,0
385,だいず　［その他］　おから　乾燥,4,0,1377,333,7,-20.2,23,-12.7,0,14,-2.2,-2.1,13,44,-,52,-,4,19,1300,310,150,380,5,2,1,2,4,4,4,170,0,0,0,0,0,0,0,2,0,11,2,30,0,0,1,-5.9,0,0,53,1,16,Tr,-,Tr
386,だいず　［その他］　豆乳　豆乳,4,0,183,44,91,3,4,-1.8,0,2,1,1,3,0,-,3,-,1,2,190,15,25,49,1,0,0,0,Tr,1,0,54,0,-,-,-,0,0,0,0,0,2,1,4,0,0,1,1,0,0,28,0,4,Tr,-,0
387,だいず　［その他］　豆乳　調製豆乳,4,0,262,63,88,3,3,3,0,4,2,2,5,0,-,5,-,1,50,170,31,19,44,1,0,0,-,-,-,-,-,0,-,-,-,0,0,0,2,0,3,1,6,0,0,0,1,0,0,31,0,-,Tr,-,0
388,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,4,0,248,59,87,2,2,2,0,2,4,4,8,0,-,8,-,0,42,110,20,13,36,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,15,0,-,Tr,-,0
389,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,4,0,1340,318,8,-44.1,46,2,0,3,-,-,22,18,-,37,-,6,3,2400,270,290,730,8,5,1,3,-,-,-,-,0,0,0,0,0,0,0,0,0,1,0,1,1,0.3,2,-13,1,0,370,2,-,Tr,-,0
390,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,4,0,1319,313,7,-55.4,58,1,0,2,-,-,11,21,-,28,-,5,550,1300,280,220,750,9,3,1,2,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,0,0,210,0.4,-,Tr,-,1
391,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,4,0,1422,335,6,77,79,2,0,3,1,1,7,4,-,8,-,5,1300,190,57,58,840,9,3,2,1,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,Tr,0,0,0,20,0,0,270,0,-,Tr,-,3
392,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,4,0,1422,335,6,-77.1,79,2,0,3,-1.1,-1,7,4,-,8,-,5,640,260,890,58,840,9,3,2,1,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,Tr,0,0,0,-20,0,0,270,0,-,Tr,-,2
393,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,4,0,1544,365,6,-56.5,59,4,0,5,-,-,24,6,-,25,-,5,1400,270,70,55,630,8,2,1,1,-,-,-,-,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,-15,0,0,170,0,-,Tr,-,4
394,だいず　［その他］　湯葉　生,4,0,912,218,59,21,22,12,0,14,1,1,5,1,-,4,-,1,4,290,90,80,250,4,2,0.7,-,1,3,1,100,0,-,-,-,10,1,0,1,0,4,0,22,0,0,0,5,0,0,25,0,14,Tr,-,0
395,だいず　［その他］　湯葉　干し　乾,4,0,2024,485,7,50,50,30,0,32,3,3,7,3,-,7,-,3,12,840,210,220,600,8,5,3,3,3,7,4,270,0,1,7,2,8,1,0,2,1,12,5,55,0,0,1,13,0,0,38,1,37,0,-,Tr
396,だいず　［その他］　湯葉　干し　湯戻し,4,0,631,151,73,15,16,10,0,11,0,0,0,1,-,0,-,1,2,140,66,60,170,3,2,1,1,0,2,1,14,0,0,2,Tr,3,0,0,1,0,4,2,16,0,0,0,4,0,0,3,0,11,0,-,0
397,だいず　［その他］　金山寺みそ,4,0,1046,247,34,-5.8,7,3,0,3,-,-,49,3,-,50,-,6,2000,190,33,54,130,2,1,0,1,1,1,1,34,0,-,-,-,0,0,0,0,0,1,0,16,0,0,2,-3.2,0.1,0,34,1,8,Tr,-,5
398,だいず　［その他］　ひしおみそ,4,0,836,198,46,-5.4,7,2,0,3,-,-,38,3,-,39,-,6,1900,340,56,56,120,2,1,0,1,1,2,4,37,0,-,-,-,0,0,0,1,0,1,2,17,0,0,3,-3.4,0,0,12,0,7,Tr,-,5
399,だいず　［その他］　テンペ,4,0,748,180,58,-11.9,16,8,0,9,-,-,10,10,-,15,-,2,2,730,70,95,250,2,2,1,0.8,1,3,1,76,0,-,-,-,1,Tr,0,1,0,9,4,11,0,0,2,-4.9,0,0,49,1,20,Tr,-,0
400,つるあずき　全粒　乾,4,0,1252,297,12,-17.8,21,1,0,2,40,36,43,22,-,62,-,4,1,1400,280,230,320,11,3,1,3,0,3,4,220,0,1,20,3,22,2,0,0,0,5,8,50,0.5,0,2,-5.9,0,0,210,1,10,3,-,0
401,つるあずき　全粒　ゆで,4,0,556,132,61,-8.4,10,-0.6,0,1,-17.8,-16.2,16,13,-,28,-,1,0,370,130,77,120,3,1,0.3,1,-,-,-,-,0,1,9,1,10,1,0,0,Tr,3,4,24,0,0,1,-2.3,0,0,48,0,-,Tr,-,0
402,ひよこまめ　全粒　乾,4,0,1413,336,10,-16.7,20,4,0,5,41,38,49,16,-,62,-,3,17,1200,100,140,270,3,3,1,-,1,11,1,150,0,0,17,3,19,2,0,3,0,8,1,9,0,0,2,-4.8,1,0,350,2,21,Tr,-,0
403,ひよこまめ　全粒　ゆで,4,0,624,149,60,-7.9,10,2,0,3,20,18,18,12,-,27,-,1,5,350,45,51,120,1,2,0,1.1,Tr,5,1,56,0,-,-,-,17,1,0,2,0,7,0,6,0,0,0,-1.9,0,0,110,0,9,Tr,-,0
404,ひよこまめ　全粒　フライ　味付け,4,0,1533,366,5,-15.7,19,8,0,10,-,-,47,21,-,63,-,4,700,690,73,110,370,4,3,1,2.2,-,-,-,-,0,0,4,-,4,Tr,0,2,0,9,1,23,0,0.1,1,-3.8,0.5,0,100,0,-,Tr,-,2
405,べにばないんげん　全粒　乾,4,0,1146,273,15,-13.8,17,1,0,2,36,33,38,27,-,61,-,5,1,1700,78,190,430,5,3,1,1.5,0,1,2,41,0,-,-,-,4,Tr,0,0,0,3,0,8,1,0,3,-5.7,1,0,140,1,8,Tr,-,0
406,べにばないんげん　全粒　ゆで,4,0,435,103,70,-5,6,0,0,1,13,12,16,8,-,22,-,1,1,440,28,50,140,2,1,0,1,0,Tr,1,21,0,-,-,-,1,Tr,0,Tr,Tr,2,0,3,0,0,0,-1.6,0,Tr,23,0,3,Tr,-,0
407,やぶまめ　乾,4,0,1614,383,13,-,23,-,-,10,-,-,50,-,-,50,-,4,5,1700,55,63,230,2,1,0,1,0,1,0,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,Tr
408,らいまめ　全粒　乾,4,0,1287,306,12,-18.8,22,1,0,2,37,34,45,20,-,61,-,4,Tr,1800,78,170,250,6,3,0.7,2,Tr,17,3,380,0,0,5,3,6,Tr,0,0,0,5,0,6,0,0,2,-5.7,0.4,0,120,1,9,0,-,0
409,らいまめ　全粒　ゆで,4,0,514,122,62,-8.3,10,-0.7,0,1,-16.4,-14.9,17,11,-,26,-,1,0,490,27,52,95,2,1,0,1,-,-,-,-,0,0,2,1,3,0,0,Tr,0,2,0,3,0.1,0,1,-2.2,0,0,25,0,-,0,-,0
410,りょくとう　全粒　乾,4,0,1346,319,11,21,25,1,0,2,45,41,49,15,-,59,-,4,0,1300,100,150,320,6,4,1,-,0,2,3,410,0,0,150,2,150,13,0,0,0,6,1,36,0.7,0,2,6,1,0,460,2,11,Tr,-,0
411,りょくとう　全粒　ゆで,4,0,528,125,66,-8.2,10,-0.4,0,1,18,16,20,5,-,23,-,1,1,320,32,39,75,2,1,0,0,0,1,1,140,0,-,-,-,85,7,0,0,0,4,0,16,0,0,0,-2.1,0,0,80,0,3,Tr,-,0
412,レンズまめ　全粒　乾,4,0,1319,313,12,-19.7,23,1,0,2,45,41,48,17,-,61,-,3,Tr,1000,57,100,430,9,5,1,2,0,54,2,180,0,0,29,2,30,3,0,1,0,5,Tr,17,1,0,3,-5.3,1,0,77,2,23,1,-,0
413,レンズまめ　全粒　ゆで,4,0,629,149,58,-9.5,11,-0.5,0,1,-23.3,-21.2,22,9,-,29,-,1,0,330,27,44,190,4,3,0,1,-,-,-,-,0,0,14,1,15,1,0,0,0,3,0,9,0.2,0,1,-2.1,0,0,22,1,-,0,-,0
414,アーモンド　乾,5,0,2516,609,5,19,20,52,-,52,6,5,12,10,-,21,-,3,1,760,250,290,460,4,4,1,2,-,-,-,-,0,0,10,3,11,1,0,30,0,1,0,0,0.2,1,4,7,0,0,65,0,-,0,-,0
415,アーモンド　フライ　味付け,5,0,2587,626,2,21,21,53,0,56,5,5,11,10,-,18,-,3,100,760,240,270,490,4,3,1,2,0,1,6,32,0,0,7,1,7,1,0,22,0,1,0,0,0,1,4,8,0.1,0,49,0.5,60,0,-,0
416,アーモンド　いり　無塩,5,0,2513,608,2,-19,20,-54.2,-,54,-5.9,-5.6,11,11,-,21,-,3,Tr,740,260,310,480,4,4,1,2,-,-,-,-,0,0,7,2,9,1,0,29,0,1,0,0,0,1,4,-7.5,0,0,48,0,-,0,-,0
417,あさ　乾,5,0,1867,450,5,26,30,27,0,28,3,3,14,23,-,32,-,6,2,340,130,400,1100,13,6,1,10,0,4,9,45,0,1,25,0,25,2,0,2,0,22,1,51,0,0,2,8,0.4,0,82,1,28,Tr,-,0
418,あまに　いり,5,0,2230,540,1,20,22,41,2,43,1,1,10,24,-,30,-,4,70,760,210,410,710,9,6,1,3,0,3,25,13,0,0,14,2,16,1,0,0,0,10,0,7,0,0,3,9,0.4,Tr,45,0,33,0,-,0
419,えごま　乾,5,0,2162,523,6,17,18,41,0,43,3,2,12,21,-,29,-,4,2,590,390,230,550,16,4,2,3,Tr,3,2,48,0,Tr,23,1,24,2,0,1,0,24,1,1,1,0,8,12,1,0,59,2,35,Tr,-,0
420,カシューナッツ　フライ　味付け,5,0,2452,591,3,19,20,48,0,48,-18.6,-17.2,20,7,-,27,-,3,220,590,38,240,490,5,5,2,-,0,27,1,30,0,-,-,-,10,1,0,1,Tr,5,1,28,1,0,1,7,0,0,63,1,19,0,-,1
421,かぼちゃ　いり　味付け,5,35,2445,590,5,-25.3,27,-48.7,0,52,-2.1,-2,9,7,-,12,-,5,47,840,44,530,1100,7,8,1,4,Tr,5,13,42,0,2,29,2,31,3,0,1,0,15,1,2,0,0,4,-13,0,0,79,1,13,Tr,-,0
422,かや　いり,5,0,2595,629,1,-,9,56,0,65,-,-,13,18,-,23,-,3,6,470,58,200,300,3,4,1,3,-,-,-,-,0,-,-,-,75,6,0,9,68,1,1,3,0,0,2,3,0,0,55,1,-,2,-,0
423,ぎんなん　生,5,25,710,168,57,4,5,1,0,2,33,30,34,2,-,35,-,2,Tr,710,5,48,120,1,0,0,0,2,0,0,3,0,-,-,-,290,24,0,3,0,1,0,3,0,0,1,3,0,0,45,1,6,23,-,0
424,ぎんなん　ゆで,5,0,715,169,57,-4,5,-1.2,0,2,34,31,34,2,-,36,-,1,1,580,5,45,96,1,0,0,0,Tr,1,5,Tr,0,-,-,-,290,24,0,2,0,0,0,3,0,0,1,-2.3,0,0,38,1,3,23,-,0
425,（くり類）　日本ぐり　生,5,30,625,147,59,2,3,-0.4,0,1,34,31,33,4,-,37,-,1,1,420,23,40,70,1,1,0,3,0,3,0,2,0,26,24,0,37,3,0,0,0,3,0,1,0,0,1,2,0,0,74,1,4,33,-,0
426,（くり類）　日本ぐり　ゆで,5,20,646,152,58,-2.9,4,1,0,1,33,30,31,7,-,37,-,1,1,460,23,45,72,1,1,0,1,-,-,-,-,0,26,24,0,37,3,0,0,0,3,0,0,0,0,1,-1.7,0,0,76,1,-,26,-,0
427,（くり類）　日本ぐり　甘露煮,5,0,984,232,41,-1.5,2,-0.3,0,0,-,-,54,3,-,57,-,0,7,75,8,8,25,1,0,0,1,-,-,-,-,0,15,24,0,32,3,0,0,0,2,0,Tr,0,0,0,-0.7,0,0,8,0,-,0,-,0
428,（くり類）　中国ぐり　甘ぐり,5,20,875,207,44,-4.3,5,-0.9,0,1,-43.9,-40.2,41,9,-,49,-,1,2,560,30,71,110,2,1,1,2,0,1,0,1,0,33,52,0,68,6,0,0,Tr,12,0,0,0.2,0,1,-2.2,0,0,100,1,6,2,-,0
429,くるみ　いり,5,0,2940,713,3,13,15,71,0,69,3,3,4,8,-,12,-,2,4,540,85,150,280,3,3,1,3,-,-,-,-,0,-,-,-,23,2,0,1,0,24,3,7,0,0,1,4,0,0,91,1,-,0,-,0
430,けし　乾,5,0,2291,555,3,-20.2,19,48,0,49,3,3,6,17,-,22,-,7,4,700,1700,350,820,23,5,1,7,0,8,7,120,0,0,6,0,6,Tr,0,2,Tr,9,0,Tr,2,0.2,1,-4.3,0,0,180,1,47,0,-,0
431,ココナッツ　ココナッツパウダー,5,0,2785,676,3,-5.6,6,-64.3,0,66,-6.4,-2.7,12,14,-,24,-,2,10,820,15,110,140,3,1,0.8,1,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,1,-1.9,0,0,10,0,-,0,-,0
432,ごま　乾,5,0,2494,604,5,19,20,53,0,54,1,1,7,11,-,17,-,5,2,400,1200,370,540,10,6,2,2,Tr,10,4,92,0,0,8,1,9,1,0,0,0,22,0,7,1,0,5,11,0.6,0,93,1,12,Tr,-,0
433,ごま　いり,5,0,2499,605,2,20,20,52,0,54,1,1,9,13,-,19,-,5,2,410,1200,360,560,10,6,2,3,Tr,27,4,110,0,0,7,1,7,1,0,0,0,23,0,12,0,0,5,11,1,0,150,1,15,Tr,-,0
434,ごま　むき,5,0,2360,570,4,19,19,45,0,55,1,1,16,13,-,19,-,3,2,400,62,340,870,6,6,2,1,1,43,1,120,0,Tr,2,1,2,0,0,0,Tr,32,1,1,1,0,5,11,0,0,83,0,11,0,-,0
435,ごま　ねり,5,0,2667,646,1,-18.3,19,57,0,61,-0.8,-0.8,9,11,-,16,-,4,6,480,590,340,670,6,5,1.5,1.8,Tr,22,5,150,0,0,7,1,8,1,0,0,0,29,0,0,0,0,7,-12,1,0,99,0,13,0,-,Tr
436,しい　生,5,35,1033,244,37,-2.6,3,-0.8,0,1,-,-,55,3,-,58,-,1,1,390,62,82,76,1,0,0,3,-,-,-,-,0,-,-,-,7,1,0,0,0,9,0,16,0,0,1,-1.9,0,0,8,1,-,110,-,0
437,すいか　いり　味付け,5,60,2193,528,6,-28.7,30,37,0,46,2,2,17,7,-,13,-,5,580,640,70,410,620,5,4,1,1,24,11,1,90,0,0,9,1,9,1,0,1,0,20,1,1,0.1,0,1,-7.6,1,0,120,1,9,Tr,-,2
438,チアシード　乾,5,0,1836,446,7,18,19,33,1,34,1,1,0,37,-,35,1,5,0,760,570,360,820,8,6,2,4.8,0,11,8,44,0,0,3,0,3,0,0,0,0,14,1,1,1,0,10,15,0,0,84,1,24,1,-,0
439,とち　蒸し,5,0,621,148,58,-1.5,2,-,0,2,-,-,28,7,-,34,-,4,250,1900,180,17,27,0,1,0,1,-,-,-,-,0,0,0,0,0,0,0,0,0,2,0,1,Tr,0,0,-0.4,Tr,0,1,0,-,0,-,1
440,はす　未熟　生,5,55,344,81,78,-5.8,6,0,0,1,-13.2,-12,13,3,-,15,-,1,2,410,53,57,190,1,1,0,1,-,-,-,-,0,0,5,0,5,Tr,0,1,0,1,0,1,0,0,1,-2.8,0,0,230,1,-,27,-,0
441,はす　成熟　乾,5,0,1383,327,11,-18,18,2,0,2,52,47,55,10,-,64,-,4,6,1300,110,200,690,3,3,1,8,10,8,Tr,14,0,0,6,Tr,6,1,0,1,0,3,0,0,0,0,4,-8.6,0.6,0,200,3,27,1,-,Tr
442,はす　成熟　ゆで,5,0,501,118,66,-7.2,7,-0.5,0,1,-19.9,-18.1,20,5,-,25,-,1,1,240,42,67,190,1,0,0.3,3,-,-,-,-,0,0,3,Tr,3,0,0,0,0,1,0,0,0,0,1,-2.4,0,0,36,0,-,0,-,0
443,（ひし類）　ひし　生,5,50,776,183,52,-5.5,6,0,0,1,16,14,38,3,-,41,-,1,5,430,45,84,150,1,1,0,0.6,Tr,Tr,0,2,0,-,-,-,7,1,0,2,Tr,8,0,2,0,0,1,-3.1,0,0,430,1,11,12,-,0
444,（ひし類）　とうびし　生,5,50,513,122,64,3,3,0,-,0,31,28,23,8,-,31,0,1,13,470,27,49,140,1,1,0,0,Tr,1,0,2,-,0,3,1,3,0,-,1,0,9,0,1,0,0,2,3,0,-,110,0,9,7,-,Tr
445,（ひし類）　とうびし　ゆで,5,45,512,121,66,3,3,0,-,0,28,26,25,5,-,31,0,1,12,410,25,45,130,1,1,0,0,Tr,1,0,1,-,-,2,1,3,0,-,1,Tr,9,1,-,0,0,2,3,0,-,71,0,7,5,-,Tr
446,ピスタチオ　いり　味付け,5,45,2549,617,2,16,17,56,0,56,-8.2,-7.7,13,9,-,21,-,3,270,970,120,120,440,3,3,1,-,-,-,-,-,0,0,120,0,120,10,0,1,Tr,26,1,29,0,0,1,6,1,0,59,1,-,0,-,1
447,ひまわり　フライ　味付け,5,0,2431,587,3,-18.7,20,49,0,56,-15.4,-14,19,7,-,17,-,4,250,750,81,390,830,4,5,2,2,0,95,1,28,0,Tr,9,-,9,1,0,12,2,0,0,0,2,0,7,-12,1,0,280,2,80,0,-,1
